Time,Sample,Plot,Device,% Vol,Error,% Vol,Error,% Vol,Error,% Vol,Error,% Vol,Error,% Vol,Error
6/4/2022 15:22,1,A,0,37.2, ,       ,O,       ,L,       ,L,       ,L,       ,L
6/4/2022 15:22,2,A,0,       ,O,41.5, ,       ,L,       ,L,       ,L,       ,L
6/4/2022 15:23,3,A,0,       ,O,       ,O,19, ,       ,L,       ,L,       ,L
6/4/2022 15:50,4,A,0,       ,L,       ,O,       ,L,       ,O,       ,O,24.3, 
6/4/2022 16:04,5,A,0,7.3, ,0.4, ,       ,O,10.4, ,13.1, ,14.7, 
10/4/2022 15:08,6,A,0,14.5, ,6.8, ,3.7, ,16.1, ,20.9, ,29.3, 
10/4/2022 15:09,7,A,0,14.5, ,6.8, ,3.7, ,16.1, ,20.9, ,29.6, 
14/04/2022  15:31:31,8,A,0,16.4, ,6.2, ,8, ,15.6, ,17.2, ,30.1, 
19/04/2022  11:07:06,9,B,0,7.3, ,12.9, ,0.7, ,12.8, ,6.4, ,28.4, 
19/04/2022  11:08:47,10,B,0,7.2, ,13.1, ,1.1, ,13.1, ,6.3, ,28.3, 
19/04/2022  11:24:55,11,C,0,6.8, ,4.4, ,       ,L,15.8, ,13.9, ,22, 
19/04/2022  11:47:11,12,D,0,6.2, ,10.2, ,       ,L,13, ,19.2, ,38.2, 
19/04/2022  13:03:57,13,E,0,10, ,10.8, ,0.5, ,13.2, ,19.2, ,21.1, 
19/04/2022  13:33:18,14,E,0,16.7, ,13.3, ,2.9, ,16.6, ,18.7, ,15.8, 
19/04/2022  13:40:49,15,F,0,16.6, ,13.9, ,2.9, ,16.4, ,18.2, ,16, 
19/04/2022  13:54:59,16,G,0,13.5, ,15.2, ,1.1, ,11.7, ,8.8, ,16.9, 
19/04/2022  14:07:18,17,H,0,2.7, ,5.2, ,       ,L,7.4, ,23.2, ,38.1, 
29/04/2022  11:50:11,18,H,0,9.7, ,9.4, ,       ,L,6.8, ,18.9, ,26.3, 
29/04/2022  11:50:30,19,H,0,9.7, ,9.4, ,       ,L,6.7, ,18.9, ,26.2, 
29/04/2022  11:50:52,20,H,0,9.7, ,9.4, ,       ,L,6.8, ,18.9, ,26.3, 
29/04/2022  11:55:47,21,I,0,9.8, ,9.3, ,       ,L,6.6, ,18.8, ,26.1, 
29/04/2022  11:56:24,22,I,0,9.8, ,9.3, ,       ,L,6.6, ,18.8, ,26.1, 
29/04/2022  12:11:44,23,J,0,6.9, ,6.3, ,       ,L,5, ,6.7, ,15, 
29/04/2022  12:11:57,24,J,0,6.9, ,6.3, ,       ,L,5, ,6.6, ,15, 
29/04/2022  12:21:44,25,K,0,8.3, ,3.9, ,       ,O,3.9, ,2.4, ,34.6, 
29/04/2022  12:36:49,26,L,0,16.3, ,5, ,       ,L,16.1, ,9.1, ,15.5, 
29/04/2022  13:04:02,27,M,0,9.3, ,7.4, ,       ,L,2.2, ,5, ,18.8, 
29/04/2022  13:17:16,28,N,0,15.3, ,8.5, ,       ,L,0.3, ,6.2, ,18.9, 
29/04/2022  13:24:46,29,O,0,5.3, ,7, ,       ,L,0.3, ,2.8, ,10.3, 
29/04/2022  13:33:53,30,P,0,17.7, ,10.7, ,       ,L,7.7, ,9.8, ,14.4, 
29/04/2022  13:40:43,31,Q,0,10, ,8.6, ,2.4, ,19.8, ,15.7, ,20.7, 
29/04/2022  14:51:53,32,D,0,22.7, ,27.2, ,2.6, ,27.7, ,37.5, ,36.2, 
29/04/2022  14:58:13,33,C,0,16.8, ,9.1, ,9, ,27.8, ,20.5, ,32.7, 
29/04/2022  15:01:16,34,B,0,19.4, ,20.8, ,1.3, ,43.7, ,54.2, ,36.3, 
